Episode,Success,Steps,Reward,PathDistance
0,0,132,-0.02639997,33.37394
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,151,-0.03019996,35.63971
1,0,0,0,0
1,0,0,0,0
0,0,152,-0.03039996,36.12658
0,0,153,-0.03059996,34.82961
1,0,0,0,0
0,0,167,-0.03339996,35.55638
1,0,0,0,0
1,0,0,0,0
0,0,178,-0.03559995,36.26223
1,0,0,0,0
1,0,0,0,0
0,0,192,-0.03839995,39.08722
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,197,-0.03939995,38.88657
0,0,203,-0.04059995,39.96889
0,0,223,-0.04459994,38.41911
0,0,224,-0.04479994,39.4253
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,256,0.4487997,45.44714
0,0,270,-0.05399992,42.38749
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,275,0.4449997,42.48496
1,0,123,-1.024604,33.52901
1,0,129,-0.02579997,31.65401
1,0,146,-2.029205,33.33683
2,0,0,0,0
2,0,0,0,0
1,0,193,-4.03856,38.02409
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
0,0,339,0.3153992,48.54682
1,0,0,0,0
1,0,149,-0.02979996,32.69376
1,0,161,-5.032167,35.89554
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
1,0,201,-4.040159,38.3502
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
1,0,145,-0.02899997,35.03945
1,0,146,-0.02919997,33.21232
1,0,157,-3.031405,36.16858
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
0,0,433,0.9134061,62.09656
2,0,159,-0.03179996,34.93967
3,0,0,0,0
1,0,288,-1.55761,49.15311
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,117,-4.023376,31.60537
3,0,0,0,0
3,0,0,0,0
3,0,0,0,0
3,0,0,0,0
2,0,181,-0.03619995,38.11085
2,0,184,-1.536806,41.72341
3,0,0,0,0
3,0,0,0,0
1,0,285,0.4429996,44.75566
2,0,136,-4.027172,33.28458
3,0,0,0,0
3,0,0,0,0
3,0,0,0,0
3,0,0,0,0
2,0,152,-5.030369,33.89739
3,0,0,0,0
3,0,0,0,0
3,0,0,0,0
3,0,112,-1.022404,32.35891
4,0,0,0,0
2,0,199,-0.03979995,37.62357
2,0,128,-3.025604,31.87254
3,0,0,0,0
3,0,0,0,0
3,0,0,0,0
3,0,0,0,0
3,0,0,0,0
2,0,173,-0.03459996,37.52815
1,1,423,2.873086,46.41178
2,0,190,-3.038006,39.09499
2,0,230,0.4539998,42.88844
3,0,0,0,0
3,0,202,-4.040359,38.82051
4,0,0,0,0
4,0,0,0,0
4,0,0,0,0
4,0,0,0,0
3,0,148,-2.029605,33.29653
4,0,0,0,0
4,0,0,0,0
2,0,139,-0.02779997,33.12425
3,0,124,-0.02479997,32.23431
4,0,144,-1.028805,34.19897
5,0,0,0,0
1,0,373,-0.789599,56.56679
2,0,0,0,0
4,0,124,-4.024775,33.57988
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
3,0,140,-0.02799997,32.9367
4,0,0,0,0
4,0,0,0,0
1,0,340,0.9320021,55.61604
3,0,128,-0.02559997,32.09385
4,0,132,-2.026404,33.01801
5,0,0,0,0
5,0,0,0,0
3,0,226,-5.045154,40.45843
4,0,0,0,0
4,0,0,0,0
4,0,0,0,0
4,0,0,0,0
4,0,0,0,0
3,0,256,-4.051147,40.15982
4,0,0,0,0
4,0,0,0,0
4,0,0,0,0
4,0,0,0,0
2,0,194,-0.03879995,37.9699
3,0,0,0,0
3,0,0,0,0
3,0,304,-3.06081,49.93591
4,0,0,0,0
4,0,0,0,0
4,0,0,0,0
2,0,139,-1.027805,34.02246
3,0,232,-0.5464018,43.31928
3,0,425,1.415,63.10683
5,0,119,-2.023804,31.76742
6,0,0,0,0
6,0,0,0,0
1,0,706,1.249198,86.44608
4,0,138,-5.027572,33.95445
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
2,0,147,-0.02939996,34.61719
5,0,249,-0.5498015,44.78338
6,0,0,0,0
5,0,179,-4.035763,36.02051
6,0,0,0,0
